match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/notout,matchId
India Vs Windies,INDIA,1,Ishan Kishan  ,52,46,7,1,113.04,out,4622
India Vs Windies,INDIA,2,Shubman Gill,7,16,1,0,43.75,out,4622
India Vs Windies,INDIA,3,Suryakumar Yadav,19,25,3,1,76,out,4622
India Vs Windies,INDIA,4,Hardik Pandya,5,7,0,0,71.42,out,4622
India Vs Windies,INDIA,5,Ravindra Jadeja,16,21,1,0,76.19,not out,4622
India Vs Windies,INDIA,6,Shardul Thakur,1,4,0,0,25,out,4622
India Vs Windies,INDIA,7,Rohit Sharma ,12,19,2,0,63.15,not out,4622
India Vs Windies,INDIA,1,Ishan Kishan  ,55,55,6,1,100,out,4623
India Vs Windies,INDIA,2,Shubman Gill,34,49,5,0,69.38,out,4623
India Vs Windies,INDIA,3,Sanju Samson,9,19,0,0,47.36,out,4623
India Vs Windies,INDIA,4,Axar Patel,1,8,0,0,12.5,out,4623
India Vs Windies,INDIA,5,Hardik Pandya ,7,14,0,0,50,out,4623
India Vs Windies,INDIA,6,Suryakumar Yadav,24,25,3,0,96,out,4623
India Vs Windies,INDIA,7,Ravindra Jadeja,10,21,0,0,47.61,out,4623
India Vs Windies,INDIA,8,Shardul Thakur,16,22,2,0,72.72,out,4623
India Vs Windies,INDIA,9,Kuldeep Yadav,8,23,1,0,34.78,not out,4623
India Vs Windies,INDIA,10,Umran Malik,0,2,0,0,0,out,4623
India Vs Windies,INDIA,11,Mukesh Kumar,6,7,1,0,85.71,out,4623
India Vs Windies,INDIA,1,Ishan Kishan  ,77,64,8,3,120.31,out,4624
India Vs Windies,INDIA,2,Shubman Gill,85,92,11,0,92.39,out,4624
India Vs Windies,INDIA,3,Ruturaj Gaikwad,8,14,1,0,57.14,out,4624
India Vs Windies,INDIA,4,Sanju Samson,51,41,2,4,124.39,out,4624
India Vs Windies,INDIA,5,Hardik Pandya ,70,52,4,5,134.61,not out,4624
India Vs Windies,INDIA,6,Suryakumar Yadav,35,30,2,2,116.66,out,4624
India Vs Windies,INDIA,7,Ravindra Jadeja,8,7,0,0,114.28,not out,4624
India Vs Australia,INDIA,1,Ishan Kishan,3,8,0,0,37.5,out,4538
India Vs Australia,INDIA,2,Shubman Gill,20,31,3,0,64.51,out,4538
India Vs Australia,INDIA,3,Virat Kohli,4,9,1,0,44.44,out,4538
India Vs Australia,INDIA,4,Suryakumar Yadav,0,1,0,0,0,out,4538
India Vs Australia,INDIA,5,KL Rahul  ,75,91,7,1,82.41,not out,4538
India Vs Australia,INDIA,6,Hardik Pandya ,25,31,3,1,80.64,out,4538
India Vs Australia,INDIA,7,Ravindra Jadeja,45,69,5,0,65.21,not out,4538
India Vs Australia,INDIA,1,Rohit Sharma ,13,15,2,0,86.66,out,4541
India Vs Australia,INDIA,2,Shubman Gill,0,2,0,0,0,out,4541
India Vs Australia,INDIA,3,Virat Kohli,31,35,4,0,88.57,out,4541
India Vs Australia,INDIA,4,Suryakumar Yadav,0,1,0,0,0,out,4541
India Vs Australia,INDIA,5,KL Rahul  ,9,12,1,0,75,out,4541
India Vs Australia,INDIA,6,Hardik Pandya,1,3,0,0,33.33,out,4541
India Vs Australia,INDIA,7,Ravindra Jadeja,16,39,1,0,41.02,out,4541
India Vs Australia,INDIA,8,Axar Patel,29,29,1,2,100,not out,4541
India Vs Australia,INDIA,9,Kuldeep Yadav,4,17,0,0,23.52,out,4541
India Vs Australia,INDIA,10,Mohammed Shami,0,1,0,0,0,out,4541
India Vs Australia,INDIA,11,Mohammed Siraj,0,3,0,0,0,out,4541
India Vs Australia,INDIA,1,Rohit Sharma ,30,17,2,2,176.47,out,4545
India Vs Australia,INDIA,2,Shubman Gill,37,49,4,1,75.51,out,4545
India Vs Australia,INDIA,3,Virat Kohli,54,72,2,1,75,out,4545
India Vs Australia,INDIA,4,KL Rahul  ,32,50,2,1,64,out,4545
India Vs Australia,INDIA,5,Axar Patel,2,4,0,0,50,out,4545
India Vs Australia,INDIA,6,Hardik Pandya,40,40,3,1,100,out,4545
India Vs Australia,INDIA,7,Suryakumar Yadav,0,1,0,0,0,out,4545
India Vs Australia,INDIA,8,Ravindra Jadeja,18,33,1,0,54.54,out,4545
India Vs Australia,INDIA,9,Kuldeep Yadav,6,15,0,0,40,out,4545
India Vs Australia,INDIA,10,Mohammed Shami,14,10,1,1,140,out,4545
India Vs Australia,INDIA,11,Mohammed Siraj,3,5,0,0,60,not out,4545
India vs Sri Lanka,INDIA,1,Rohit Sharma ,83,67,9,3,123.88,out,4501
India vs Sri Lanka,INDIA,2,Shubman Gill,70,60,11,0,116.66,out,4501
India vs Sri Lanka,INDIA,3,Virat Kohli,113,87,12,1,129.88,out,4501
India vs Sri Lanka,INDIA,4,Shreyas Iyer,28,24,3,1,116.66,out,4501
India vs Sri Lanka,INDIA,5,KL Rahul  ,39,29,4,1,134.48,out,4501
India vs Sri Lanka,INDIA,6,Hardik Pandya,14,12,0,1,116.66,out,4501
India vs Sri Lanka,INDIA,7,Axar Patel,9,9,0,0,100,out,4501
India vs Sri Lanka,INDIA,8,Mohammed Shami,4,4,0,0,100,not out,4501
India vs Sri Lanka,INDIA,9,Mohammed Siraj,7,8,0,0,87.5,not out,4501
India vs Sri Lanka,INDIA,1,Rohit Sharma ,17,21,2,1,80.95,out,4503
India vs Sri Lanka,INDIA,2,Shubman Gill,21,12,5,0,175,out,4503
India vs Sri Lanka,INDIA,3,Virat Kohli,4,9,1,0,44.44,out,4503
India vs Sri Lanka,INDIA,4,Shreyas Iyer,28,33,5,0,84.84,out,4503
India vs Sri Lanka,INDIA,5,KL Rahul  ,64,103,6,0,62.13,not out,4503
