match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,matchId
India Vs Windies,INDIA,Hardik Pandya,3,0,17,1,5.66,13,2,1,0,0,4622
India Vs Windies,INDIA,Mukesh Kumar,5,1,22,1,4.4,21,3,0,2,0,4622
India Vs Windies,INDIA,Shardul Thakur,3,1,14,1,4.66,11,2,0,1,0,4622
India Vs Windies,INDIA,Ravindra Jadeja,6,0,37,3,6.16,18,2,1,2,2,4622
India Vs Windies,INDIA,Umran Malik,3,0,17,0,5.66,10,3,0,0,0,4622
India Vs Windies,INDIA,Kuldeep Yadav,3,2,6,4,2,15,0,0,0,0,4622
India Vs Windies,INDIA,Hardik Pandya,6.4,0,38,0,5.7,22,4,1,1,0,4623
India Vs Windies,INDIA,Mukesh Kumar,3,0,17,0,5.66,12,3,0,0,0,4623
India Vs Windies,INDIA,Umran Malik,3,0,27,0,9,9,3,1,1,0,4623
India Vs Windies,INDIA,Shardul Thakur,8,0,42,3,5.25,26,2,2,2,0,4623
India Vs Windies,INDIA,Kuldeep Yadav,8,0,30,1,3.75,25,1,0,1,0,4623
India Vs Windies,INDIA,Ravindra Jadeja,6,0,24,0,4,17,0,0,0,0,4623
India Vs Windies,INDIA,Axar Patel,2,1,4,0,2,8,0,0,0,0,4623
India Vs Windies,INDIA,Mukesh Kumar,7,1,30,3,4.28,33,2,1,4,2,4624
India Vs Windies,INDIA,Hardik Pandya,4,1,13,0,3.25,18,2,0,0,0,4624
India Vs Windies,INDIA,Shardul Thakur,6.3,0,37,4,5.69,23,5,1,0,0,4624
India Vs Windies,INDIA,Jaydev Unadkat,5,0,16,1,3.2,20,2,0,0,0,4624
India Vs Windies,INDIA,Kuldeep Yadav,8,3,25,2,3.12,39,3,1,0,0,4624
India Vs Windies,INDIA,Ravindra Jadeja,5,1,29,0,5.8,21,3,2,0,0,4624
India Vs Australia,INDIA,Mohammed Shami,6,2,17,3,2.83,30,1,1,2,0,4538
India Vs Australia,INDIA,Mohammed Siraj,5.4,1,29,3,5.11,26,7,0,0,0,4538
India Vs Australia,INDIA,Hardik Pandya,5,0,29,1,5.8,19,2,2,1,0,4538
India Vs Australia,INDIA,Shardul Thakur,2,0,12,0,6,8,1,1,0,0,4538
India Vs Australia,INDIA,Ravindra Jadeja,9,0,46,2,5.11,27,4,1,0,0,4538
India Vs Australia,INDIA,Kuldeep Yadav,8,1,48,1,6,24,5,1,0,0,4538
India Vs Australia,INDIA,Mohammed Shami,3,0,29,0,9.66,11,3,2,3,0,4541
India Vs Australia,INDIA,Mohammed Siraj,3,0,37,0,12.33,6,8,0,1,0,4541
India Vs Australia,INDIA,Axar Patel,3,0,25,0,8.33,7,4,0,0,0,4541
India Vs Australia,INDIA,Hardik Pandya,1,0,18,0,18,3,0,3,0,0,4541
India Vs Australia,INDIA,Kuldeep Yadav,1,0,12,0,12,2,1,1,0,0,4541
India Vs Australia,INDIA,Mohammed Shami,6,0,37,0,6.16,23,4,2,0,0,4545
India Vs Australia,INDIA,Mohammed Siraj,7,1,37,2,5.28,28,6,1,0,0,4545
India Vs Australia,INDIA,Axar Patel,8,0,57,2,7.12,24,3,4,0,1,4545
India Vs Australia,INDIA,Hardik Pandya,8,0,44,3,5.5,24,4,0,1,0,4545
India Vs Australia,INDIA,Ravindra Jadeja,10,0,34,0,3.4,31,1,0,1,0,4545
India Vs Australia,INDIA,Kuldeep Yadav,10,1,56,3,5.6,30,4,1,1,0,4545
India Vs Sri Lanka,INDIA,Mohammed Shami,9,0,67,1,7.44,29,9,1,2,0,4501
India Vs Sri Lanka,INDIA,Mohammed Siraj,7,1,30,2,4.28,29,3,1,0,0,4501
India Vs Sri Lanka,INDIA,Hardik Pandya,6,0,33,1,5.5,18,4,0,2,0,4501
India Vs Sri Lanka,INDIA,Umran Malik,8,0,57,3,7.12,27,10,0,4,0,4501
India Vs Sri Lanka,INDIA,Yuzvendra Chahal,10,0,58,1,5.8,33,6,2,0,0,4501
India Vs Sri Lanka,INDIA,Axar Patel,10,0,58,0,5.8,32,7,1,0,0,4501
India Vs Sri Lanka,INDIA,Mohammed Shami,7,0,43,0,6.14,23,7,0,1,0,4503
India Vs Sri Lanka,INDIA,Mohammed Siraj,5.4,0,30,3,5.29,24,4,1,2,0,4503
India Vs Sri Lanka,INDIA,Hardik Pandya,5,0,26,0,5.2,14,2,0,2,0,4503
India Vs Sri Lanka,INDIA,Umran Malik,7,0,48,2,6.85,21,6,1,0,1,4503
India Vs Sri Lanka,INDIA,Kuldeep Yadav,10,0,51,3,5.1,33,6,1,0,0,4503
India Vs Sri Lanka,INDIA,Axar Patel,5,0,16,1,3.2,18,1,0,0,0,4503
India Vs Sri Lanka,INDIA,Mohammed Shami,6,2,20,2,3.33,31,3,0,2,0,4505
India Vs Sri Lanka,INDIA,Mohammed Siraj,10,1,32,4,3.2,46,5,0,1,0,4505
India Vs Sri Lanka,INDIA,Kuldeep Yadav,5,1,16,2,3.2,23,3,0,0,0,4505
India Vs Sri Lanka,INDIA,Shreyas Iyer,1,0,2,0,2,4,0,0,0,0,4505
India Vs New Zealand,INDIA,Mohammed Shami,10,1,69,1,6.9,30,8,3,0,0,4507
India Vs New Zealand,INDIA,Mohammed Siraj,10,2,46,4,4.6,39,7,0,4,0,4507
India Vs New Zealand,INDIA,Hardik Pandya,7,0,70,1,10,14,7,3,3,0,4507
