team1,team2,winner,margin,ground,matchDate,matchId
India,Sri Lanka,India,67 runs,Guwahati,"Jan 10, 2023",4501
India,Sri Lanka,India,4 wickets,Eden Gardens,"Jan 12, 2023",4503
India,Sri Lanka,India,317 runs,Thiruvananthapuram,"Jan 15, 2023",4505
India,New Zealand,India,12 runs,Hyderabad,"Jan 18, 2023",4507
India,New Zealand,India,8 wickets,Raipur,"Jan 21, 2023",4509
India,New Zealand,India,90 runs,Indore,"Jan 24, 2023",4511
India,Australia,India,5 wickets,Wankhede,"Mar 17, 2023",4538
India,Australia,Australia,10 wickets,Visakhapatnam,"Mar 19, 2023",4541
India,Australia,Australia,21 runs,Chennai,"Mar 22, 2023",4545
India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022",4353
India,West Indies,India,44 runs,Ahmedabad,"Feb 9, 2022",4355
India,West Indies,India,96 runs,Ahmedabad,"Feb 11, 2022",4356
India,South Africa,South Africa,9 runs,Lucknow,"Oct 6, 2022",4470
India,South Africa,India,7 wickets,Ranchi,"Oct 9, 2022",4471
India,South Africa,India,7 wickets,Delhi,"Oct 11, 2022",4472
India,England,India,66 runs,Pune,"Mar 23, 2021",4281
India,England,England,6 wickets,Pune,"Mar 26, 2021",4283
India,England,India,7 runs,Pune,"Mar 28, 2021",4284
India,Australia,Australia,10 wickets,Wankhede,"Jan 14, 2020",4231
India,Australia,India,36 runs,Rajkot,"Jan 17, 2020",4232
India,Australia,India,7 wickets,Bengaluru,"Jan 19, 2020",4233
India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019",4150
India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019",4161
India,West Indies,India,125 runs,Manchester,"Jun 27, 2019",4175
India,Sri Lanka,India,7 wickets,Leeds,"Jul 6, 2019",4187
India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",4190
India,Pakistan,India,8 wickets,Dubai (DSC),"Sep 19, 2018",4040
India,Pakistan,India,9 wickets,Dubai (DSC),"Sep 23, 2018",4044
India,West Indies,India,8 wickets,Guwahati,"Oct 21, 2018",4056
India,West Indies,tied,-,Visakhapatnam,"Oct 24, 2018",4059
India,West Indies,West Indies,43 runs,Pune,"Oct 27, 2018",4062
India,West Indies,India,224 runs,Brabourne,"Oct 29, 2018",4063
India,West Indies,India,9 wickets,Thiruvananthapuram,"Nov 1, 2018",4064
India,England,India,3 wickets,Pune,"Jan 15, 2017",3819
India,England,India,15 runs,Cuttack,"Jan 19, 2017",3821
India,England,England,5 runs,Eden Gardens,"Jan 22, 2017",3824
India,Pakistan,India,124 runs,Birmingham,"Jun 4, 2017",3878
India,Sri Lanka,Sri Lanka,7 wickets,The Oval,"Jun 8, 2017",3882
India,South Africa,India,8 wickets,The Oval,"Jun 11, 2017",3886
India,Pakistan,Pakistan,180 runs,The Oval,"Jun 18, 2017",3894
India,Australia,India,26 runs,Chennai,"Sep 17, 2017",3910
India,Australia,India,50 runs,Eden Gardens,"Sep 21, 2017",3912
India,Australia,India,5 wickets,Indore,"Sep 24, 2017",3914
India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017",3917
India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017",3919
India,New Zealand,New Zealand,6 wickets,Wankhede,"Oct 22, 2017",3928
India,New Zealand,India,6 wickets,Pune,"Oct 25, 2017",3931
India,New Zealand,India,6 runs,Kanpur,"Oct 29, 2017",3932
India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,"Dec 10, 2017",3939
India,Sri Lanka,India,141 runs,Mohali,"Dec 13, 2017",3941
India,Sri Lanka,India,8 wickets,Visakhapatnam,"Dec 17, 2017",3942
India,New Zealand,India,6 wickets,Dharamsala,"Oct 16, 2016",3796
India,New Zealand,New Zealand,6 runs,Delhi,"Oct 20, 2016",3797
India,New Zealand,India,7 wickets,Mohali,"Oct 23, 2016",3798
India,New Zealand,New Zealand,19 runs,Ranchi,"Oct 26, 2016",3799
India,New Zealand,India,190 runs,Visakhapatnam,"Oct 29, 2016",3800
India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",3602
India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",3610
India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015",3618
India,West Indies,India,4 wickets,Perth,"Mar 6, 2015",3625
India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015",3631
India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015",3636
India,South Africa,South Africa,5 runs,Kanpur,"Oct 11, 2015",3689
India,South Africa,India,22 runs,Indore,"Oct 14, 2015",3692
India,South Africa,South Africa,18 runs,Rajkot,"Oct 18, 2015",3695
India,South Africa,India,35 runs,Chennai,"Oct 22, 2015",3698
India,South Africa,South Africa,214 runs,Wankhede,"Oct 25, 2015",3700
India,Sri Lanka,Sri Lanka,2 wickets,Fatullah,"Feb 28, 2014",3476
India,Pakistan,Pakistan,1 wicket,Mirpur,"Mar 2, 2014",3479
India,West Indies,West Indies,124 runs,Kochi,"Oct 8, 2014",3531
India,West Indies,India,48 runs,Delhi,"Oct 11, 2014",3533
India,West Indies,India,59 runs,Dharamsala,"Oct 17, 2014",3535
India,Sri Lanka,India,169 runs,Cuttack,"Nov 2, 2014",3539
India,Sri Lanka,India,6 wickets,Ahmedabad,"Nov 6, 2014",3540
India,Sri Lanka,India,6 wickets,Hyderabad,"Nov 9, 2014",3543
India,Sri Lanka,India,153 runs,Eden Gardens,"Nov 13, 2014",3544
India,Sri Lanka,India,3 wickets,Ranchi,"Nov 16, 2014",3547
India,Pakistan,Pakistan,85 runs,Eden Gardens,"Jan 3, 2013",3315
India,Pakistan,India,10 runs,Delhi,"Jan 6, 2013",3316
India,England,England,9 runs,Rajkot,"Jan 11, 2013",3318
India,England,India,127 runs,Kochi,"Jan 15, 2013",3320
India,England,India,7 wickets,Ranchi,"Jan 19, 2013",3322
India,England,India,5 wickets,Mohali,"Jan 23, 2013",3327
India,England,England,7 wickets,Dharamsala,"Jan 27, 2013",3329
India,South Africa,India,26 runs,Cardiff,"Jun 6, 2013",3363
India,West Indies,India,8 wickets,The Oval,"Jun 11, 2013",3368
India,Pakistan,India,8 wickets,Birmingham,"Jun 15, 2013",3372
India,Sri Lanka,India,8 wickets,Cardiff,"Jun 20, 2013",3376
India,Sri Lanka,Sri Lanka,161 runs,Kingston,"Jul 2, 2013",3382
India,Sri Lanka,India,81 runs,Port of Spain,"Jul 9, 2013",3387
India,Sri Lanka,India,1 wicket,Port of Spain,"Jul 11, 2013",3388
India,Australia,Australia,72 runs,Pune,"Oct 13, 2013",3419
India,Australia,India,9 wickets,Jaipur,"Oct 16, 2013",3420
India,Australia,Australia,4 wickets,Mohali,"Oct 19, 2013",3421
